mood_happy,mood_sad,mood_aggressive,mood_relaxed,mood_party,added_at
0.5277,0.1642,0.6991,0.4265,0.6825,2024-12-11 09:03
0.5243,0.1597,0.6879,0.411,0.7033,2024-12-18 12:44
0.5223,0.1603,0.6803,0.4094,0.6991,2024-12-18 13:15
0.5199,0.165,0.6877,0.4243,0.6935,2024-12-18 13:35
0.5152,0.1701,0.685,0.4267,0.6883,2024-12-20 06:05
0.5098,0.1716,0.7002,0.4323,0.6877,2024-12-21 05:49
0.4991,0.1771,0.7026,0.4296,0.6803,2024-12-23 12:49
0.5049,0.1818,0.7129,0.4397,0.6798,2024-12-25 01:19
0.5054,0.1834,0.7036,0.4287,0.6799,2024-12-26 14:59
0.5046,0.1828,0.6975,0.4281,0.671,2024-12-30 17:36
0.5164,0.1868,0.7081,0.4377,0.6606,2024-12-30 19:57
0.5392,0.1918,0.7188,0.4519,0.6452,2025-01-01 14:17
0.5566,0.2137,0.7288,0.4743,0.6142,2025-01-01 18:04
0.5591,0.2043,0.717,0.4617,0.6271,2025-01-01 23:35
0.5635,0.2059,0.7067,0.4629,0.6244,2025-01-01 23:38
0.5714,0.2015,0.6824,0.4469,0.6409,2025-01-03 00:26
0.5731,0.2002,0.6693,0.437,0.65,2025-01-03 00:42
0.5659,0.192,0.6662,0.4265,0.659,2025-01-03 01:03
0.5789,0.1878,0.6642,0.424,0.6605,2025-01-04 13:39
0.5716,0.1985,0.6788,0.4354,0.6439,2025-01-05 19:09
0.5719,0.2002,0.6712,0.4324,0.6392,2025-01-06 15:02
0.5702,0.2046,0.6544,0.4225,0.6266,2025-01-07 00:34
0.5598,0.2125,0.6682,0.4302,0.6166,2025-01-07 14:37
0.5716,0.2172,0.6789,0.4386,0.5998,2025-01-07 14:38
0.5742,0.2185,0.6833,0.443,0.5979,2025-01-07 14:39
0.5795,0.2226,0.6997,0.4544,0.5941,2025-01-09 01:07
0.5743,0.2212,0.7101,0.4544,0.5954,2025-01-14 22:56
0.5739,0.2152,0.7143,0.4577,0.6099,2025-01-14 23:10
0.573,0.2199,0.7146,0.4591,0.6109,2025-01-15 15:32
0.5854,0.2261,0.7356,0.4723,0.6106,2025-01-16 10:10
0.5882,0.2198,0.7336,0.4616,0.6208,2025-01-18 01:41
0.5888,0.2194,0.7205,0.4559,0.6126,2025-01-20 20:29
0.5932,0.2281,0.7351,0.472,0.6073,2025-01-21 17:56
0.5896,0.222,0.7333,0.4564,0.6149,2025-01-25 00:56
0.5887,0.2184,0.7343,0.454,0.6205,2025-01-25 05:41
0.5888,0.22,0.7323,0.4601,0.6153,2025-01-26 04:28
0.5918,0.2089,0.7259,0.4552,0.6374,2025-01-26 04:36
0.5821,0.2022,0.7216,0.4444,0.6422,2025-01-27 09:25
0.5861,0.1974,0.716,0.4421,0.648,2025-01-27 09:32
0.5859,0.1998,0.7205,0.4428,0.6455,2025-01-28 00:16
0.5782,0.1995,0.7081,0.4389,0.6466,2025-01-30 00:51
0.5614,0.1977,0.7073,0.4315,0.6582,2025-01-30 01:10
0.5563,0.1852,0.7044,0.4258,0.6664,2025-02-01 02:46
0.5556,0.1896,0.7165,0.4382,0.6542,2025-02-01 02:47
0.5532,0.1847,0.7181,0.4296,0.661,2025-02-01 02:48
0.5707,0.191,0.736,0.4484,0.6426,2025-02-01 03:21
0.565,0.1904,0.7377,0.4469,0.6416,2025-02-01 04:38
0.5778,0.1885,0.7327,0.4462,0.6444,2025-02-05 05:12
0.5606,0.1887,0.7335,0.4439,0.6514,2025-02-05 21:19
0.5694,0.1799,0.7127,0.4366,0.6617,2025-02-05 23:23
0.5637,0.1794,0.7239,0.4466,0.6576,2025-02-05 23:36
